year,Amanda,Ashley,Betty,Deborah,Dorothy,Helen,Linda,Patricia
289,367,0,342,18,1366,4392,104,37
290,354,0,367,23,1472,4519,81,49
291,371,0,421,21,1671,5230,102,47
292,326,0,410,11,1687,5048,98,56
293,377,0,664,26,2491,6343,126,89
294,317,0,474,21,2173,5247,86,68
295,301,0,580,21,2707,5967,91,85
296,247,0,596,21,3078,6129,90,79
297,294,0,707,23,3477,6488,101,124
298,311,0,807,18,3937,6811,106,121
299,260,0,865,25,4326,7176,98,157
300,285,0,1018,21,4967,7579,102,177
301,260,0,1128,25,5703,8439,93,205
302,271,0,1082,26,6253,9250,105,233
303,278,0,1389,33,7318,10479,137,316
304,280,0,1456,36,8869,11802,130,325
305,310,0,2011,32,12645,16133,189,504
306,346,0,2239,42,14674,18889,238,588
307,375,0,2933,62,18782,23221,219,656
308,412,0,4182,106,25154,30866,290,895
309,421,0,5136,90,27415,32661,297,1078
310,445,5,6639,89,28853,34249,291,1441
311,397,0,8802,92,32034,36150,322,1760
312,379,0,10107,70,31734,33705,282,2144
313,379,0,14017,82,36645,35098,349,2502
314,392,0,17637,94,39083,34819,367,3382
315,341,0,20893,71,37711,32507,365,3902
316,362,0,25990,118,39045,31492,423,4800
317,341,0,30602,125,39996,31193,454,6958
318,310,0,32817,82,38572,29168,438,8095
319,310,0,32959,116,36614,26884,479,8590
320,234,0,35422,91,35987,25316,516,10553
321,247,0,36078,130,33728,22936,554,12332
322,209,0,36669,161,31477,20983,509,13626
323,196,0,38239,165,30404,19914,493,15749
324,209,0,36102,158,26521,17657,534,16468
325,213,0,34411,208,24968,16375,774,17991
326,199,0,31526,243,22050,14645,786,18625
327,189,0,31078,280,21280,14099,1001,20847
328,211,0,28673,279,19400,12778,1197,22876
329,192,0,25863,299,17668,12232,2439,23912
330,176,0,25328,323,16571,11452,4380,26837
331,192,7,25502,410,16348,10833,7047,27555
332,185,0,23639,443,15170,10417,10714,29704
333,218,0,22074,469,14874,10201,18368,32661
334,223,6,20900,608,14561,9889,23715,36901
335,295,8,21654,676,15032,10013,31611,39454
336,284,10,21595,788,14785,9799,38437,39620
337,238,12,19757,1293,13378,8693,38411,36872
338,280,10,18383,1464,12328,8300,41464,35840
339,274,7,19714,2470,12796,8852,52708,46295
340,310,11,18962,5838,12751,8978,99680,51274
341,306,13,16622,11246,11326,8305,96211,46135
342,333,11,14946,19208,10406,7709,91010,46337
343,379,15,13614,29073,9555,7060,80439,47952
344,409,15,12820,42045,9082,6945,73947,56433
345,418,24,12125,49809,8608,6470,67092,53090
346,428,15,11367,52196,8154,6120,61264,51007
347,428,21,10615,54674,7791,5940,55371,49133
348,452,8,9928,52314,7241,5596,51279,46210
349,643,25,9213,47829,6862,5279,48067,43332
350,667,27,8474,40065,6401,5015,44495,39277
351,796,38,7709,32936,5539,4763,41898,37932
352,858,37,7317,29552,5238,4378,40409,35221
353,977,57,6503,25269,5077,4069,37314,32107
354,1057,80,5580,24092,4726,3855,35574,28867
355,948,95,4765,22893,4075,3587,31462,26538
356,1035,108,4154,21062,3791,3340,27715,25363
357,1275,180,4067,19306,3535,3095,23633,26087
358,1650,218,3565,17083,2960,2804,19339,23551
359,2329,263,2948,16250,2667,2449,15560,20115
360,2663,386,2543,14007,2316,2153,13199,17746
361,2430,544,2134,12286,2084,1881,11368,15806
362,2817,643,2133,11186,1778,1857,10248,14957
363,3550,932,1967,9853,1802,1715,8734,13404
364,4133,1164,1763,8675,1626,1441,7379,11466
365,4181,1176,1366,6279,1277,1245,5746,9602
366,5627,1253,1323,4984,1175,1133,4735,8477
367,7476,1626,1130,4345,1100,1140,4085,8040
368,12653,1988,1021,3415,975,1057,3525,7056
369,15591,2292,908,2994,983,942,3141,6017
370,18280,2706,807,2677,934,992,2909,5907
371,20522,3484,715,2479,913,922,2936,5498
372,31927,4450,711,2181,889,879,2739,5651
373,35819,7296,658,1938,895,909,2805,5309
374,34373,8877,662,1905,787,896,2730,5285
375,34210,14851,635,1842,828,875,2787,5167
376,33754,33290,563,1605,759,844,2473,4922
377,33906,38759,503,1468,682,859,2334,4475
378,39050,47007,502,1401,719,809,2113,4398
379,40522,49674,407,1284,629,766,1951,4246
380,41786,54845,435,1203,614,815,1929,3913
381,39451,49963,395,1056,608,775,1844,3798
382,36827,47585,399,1076,620,857,1844,3606
383,34405,45553,406,1094,596,861,1658,3578
384,28887,43482,345,1014,498,773,1608,3418
385,25034,38452,296,919,508,827,1580,2951
386,20809,34847,292,797,476,868,1487,2660
387,18715,30278,275,740,442,848,1281,2363
388,16345,26603,234,660,376,837,1233,2160
389,13973,23676,217,633,350,900,987,1970
390,12239,20895,189,638,315,812,1095,1781
391,10908,19871,194,553,312,832,970,1704
392,9741,18132,182,524,335,841,898,1532
393,8550,17997,174,545,312,890,849,1392
394,6963,16524,153,489,317,884,837,1223
395,6132,15339,127,474,263,875,769,1113
396,5339,14512,142,421,291,783,739,1011
397,4677,14370,136,427,288,860,727,997
398,4088,13270,132,425,234,960,745,877
399,3355,12340,135,423,265,948,698,775
400,3038,11423,134,371,262,931,659,725
401,2439,9402,137,355,242,884,611,629
402,1952,7811,148,346,226,826,550,564
403,1655,6306,132,354,240,703,476,479
404,1409,5398,167,332,276,729,488,427
405,1228,4696,140,336,277,772,448,394
406,1064,3936,174,329,334,738,441,419
407,1048,3547,193,369,382,801,470,377
408,1013,3409,186,346,395,757,423,346
409,241,0,117,12,112,636,27,0
410,263,0,112,14,109,612,38,0
411,288,0,123,15,115,838,36,0
412,287,0,120,16,141,862,49,0
413,337,0,144,13,163,986,33,6
414,339,0,155,10,196,1134,60,5
415,370,0,167,10,230,1267,49,8
416,338,0,178,15,272,1405,50,10
417,404,0,214,26,373,1847,77,12
418,413,0,189,12,377,1909,74,17
419,392,0,216,24,458,2312,54,11
420,371,0,239,15,566,2417,78,12
421,455,0,255,16,626,2936,83,21
422,387,0,298,24,821,3249,82,28
423,418,0,298,18,1052,3676,94,36
424,431,0,350,13,1127,4023,96,35
425,367,0,342,18,1366,4392,104,37
426,354,0,367,23,1472,4519,81,49
427,371,0,421,21,1671,5230,102,47
428,326,0,410,11,1687,5048,98,56
429,377,0,664,26,2491,6343,126,89
430,317,0,474,21,2173,5247,86,68
431,301,0,580,21,2707,5967,91,85
432,247,0,596,21,3078,6129,90,79
433,294,0,707,23,3477,6488,101,124
434,311,0,807,18,3937,6811,106,121
435,260,0,865,25,4326,7176,98,157
436,285,0,1018,21,4967,7579,102,177
437,260,0,1128,25,5703,8439,93,205
438,271,0,1082,26,6253,9250,105,233
439,278,0,1389,33,7318,10479,137,316
440,280,0,1456,36,8869,11802,130,325
441,310,0,2011,32,12645,16133,189,504
442,346,0,2239,42,14674,18889,238,588
443,375,0,2933,62,18782,23221,219,656
444,412,0,4182,106,25154,30866,290,895
445,421,0,5136,90,27415,32661,297,1078
446,445,5,6639,89,28853,34249,291,1441
447,397,0,8802,92,32034,36150,322,1760
448,379,0,10107,70,31734,33705,282,2144
449,379,0,14017,82,36645,35098,349,2502
450,392,0,17637,94,39083,34819,367,3382
451,341,0,20893,71,37711,32507,365,3902
452,362,0,25990,118,39045,31492,423,4800
453,341,0,30602,125,39996,31193,454,6958
454,310,0,32817,82,38572,29168,438,8095
455,310,0,32959,116,36614,26884,479,8590
456,234,0,35422,91,35987,25316,516,10553
457,247,0,36078,130,33728,22936,554,12332
458,209,0,36669,161,31477,20983,509,13626
459,196,0,38239,165,30404,19914,493,15749
460,209,0,36102,158,26521,17657,534,16468
461,213,0,34411,208,24968,16375,774,17991
462,199,0,31526,243,22050,14645,786,18625
463,189,0,31078,280,21280,14099,1001,20847
464,211,0,28673,279,19400,12778,1197,22876
465,192,0,25863,299,17668,12232,2439,23912
466,176,0,25328,323,16571,11452,4380,26837
467,192,7,25502,410,16348,10833,7047,27555
468,185,0,23639,443,15170,10417,10714,29704
469,218,0,22074,469,14874,10201,18368,32661
470,223,6,20900,608,14561,9889,23715,36901
471,295,8,21654,676,15032,10013,31611,39454
472,284,10,21595,788,14785,9799,38437,39620
473,238,12,19757,1293,13378,8693,38411,36872
474,280,10,18383,1464,12328,8300,41464,35840
475,274,7,19714,2470,12796,8852,52708,46295
476,310,11,18962,5838,12751,8978,99680,51274
477,306,13,16622,11246,11326,8305,96211,46135
478,333,11,14946,19208,10406,7709,91010,46337
479,379,15,13614,29073,9555,7060,80439,47952
480,409,15,12820,42045,9082,6945,73947,56433
481,418,24,12125,49809,8608,6470,67092,53090
482,428,15,11367,52196,8154,6120,61264,51007
483,428,21,10615,54674,7791,5940,55371,49133
484,452,8,9928,52314,7241,5596,51279,46210
485,643,25,9213,47829,6862,5279,48067,43332
486,667,27,8474,40065,6401,5015,44495,39277
487,796,38,7709,32936,5539,4763,41898,37932
488,858,37,7317,29552,5238,4378,40409,35221
489,977,57,6503,25269,5077,4069,37314,32107
490,1057,80,5580,24092,4726,3855,35574,28867
491,948,95,4765,22893,4075,3587,31462,26538
492,1035,108,4154,21062,3791,3340,27715,25363
493,1275,180,4067,19306,3535,3095,23633,26087
494,1650,218,3565,17083,2960,2804,19339,23551
495,2329,263,2948,16250,2667,2449,15560,20115
496,2663,386,2543,14007,2316,2153,13199,17746
497,2430,544,2134,12286,2084,1881,11368,15806
498,2817,643,2133,11186,1778,1857,10248,14957
499,3550,932,1967,9853,1802,1715,8734,13404
500,4133,1164,1763,8675,1626,1441,7379,11466
501,4181,1176,1366,6279,1277,1245,5746,9602
502,5627,1253,1323,4984,1175,1133,4735,8477
503,7476,1626,1130,4345,1100,1140,4085,8040
504,12653,1988,1021,3415,975,1057,3525,7056
505,15591,2292,908,2994,983,942,3141,6017
506,18280,2706,807,2677,934,992,2909,5907
507,20522,3484,715,2479,913,922,2936,5498
508,31927,4450,711,2181,889,879,2739,5651
509,35819,7296,658,1938,895,909,2805,5309
510,34373,8877,662,1905,787,896,2730,5285
511,34210,14851,635,1842,828,875,2787,5167
512,33754,33290,563,1605,759,844,2473,4922
513,33906,38759,503,1468,682,859,2334,4475
514,39050,47007,502,1401,719,809,2113,4398
515,40522,49674,407,1284,629,766,1951,4246
516,41786,54845,435,1203,614,815,1929,3913
517,39451,49963,395,1056,608,775,1844,3798
518,36827,47585,399,1076,620,857,1844,3606
519,34405,45553,406,1094,596,861,1658,3578
520,28887,43482,345,1014,498,773,1608,3418
521,25034,38452,296,919,508,827,1580,2951
522,20809,34847,292,797,476,868,1487,2660
523,18715,30278,275,740,442,848,1281,2363
524,16345,26603,234,660,376,837,1233,2160
525,13973,23676,217,633,350,900,987,1970
526,12239,20895,189,638,315,812,1095,1781
527,10908,19871,194,553,312,832,970,1704
528,9741,18132,182,524,335,841,898,1532
529,8550,17997,174,545,312,890,849,1392
530,6963,16524,153,489,317,884,837,1223
531,6132,15339,127,474,263,875,769,1113
532,5339,14512,142,421,291,783,739,1011
533,4677,14370,136,427,288,860,727,997
534,4088,13270,132,425,234,960,745,877
535,3355,12340,135,423,265,948,698,775
536,3038,11423,134,371,262,931,659,725
537,2439,9402,137,355,242,884,611,629
538,1952,7811,148,346,226,826,550,564
539,1655,6306,132,354,240,703,476,479
540,1409,5398,167,332,276,729,488,427
541,1228,4696,140,336,277,772,448,394
542,1064,3936,174,329,334,738,441,419
543,1048,3547,193,369,382,801,470,377
544,1013,3409,186,346,395,757,423,346
545,241,0,117,12,112,636,27,0
546,263,0,112,14,109,612,38,0
547,288,0,123,15,115,838,36,0
548,287,0,120,16,141,862,49,0
549,337,0,144,13,163,986,33,6
550,339,0,155,10,196,1134,60,5
551,370,0,167,10,230,1267,49,8
552,338,0,178,15,272,1405,50,10
553,404,0,214,26,373,1847,77,12
554,413,0,189,12,377,1909,74,17
555,392,0,216,24,458,2312,54,11
556,371,0,239,15,566,2417,78,12
557,455,0,255,16,626,2936,83,21
558,387,0,298,24,821,3249,82,28
559,418,0,298,18,1052,3676,94,36
560,431,0,350,13,1127,4023,96,35
561,367,0,342,18,1366,4392,104,37
562,354,0,367,23,1472,4519,81,49
563,371,0,421,21,1671,5230,102,47
564,326,0,410,11,1687,5048,98,56
565,377,0,664,26,2491,6343,126,89
566,317,0,474,21,2173,5247,86,68
567,301,0,580,21,2707,5967,91,85
568,247,0,596,21,3078,6129,90,79
569,294,0,707,23,3477,6488,101,124
570,311,0,807,18,3937,6811,106,121
571,260,0,865,25,4326,7176,98,157
572,285,0,1018,21,4967,7579,102,177
573,260,0,1128,25,5703,8439,93,205
574,271,0,1082,26,6253,9250,105,233
575,278,0,1389,33,7318,10479,137,316
576,280,0,1456,36,8869,11802,130,325
577,310,0,2011,32,12645,16133,189,504
578,346,0,2239,42,14674,18889,238,588
579,375,0,2933,62,18782,23221,219,656
580,412,0,4182,106,25154,30866,290,895
581,421,0,5136,90,27415,32661,297,1078
582,445,5,6639,89,28853,34249,291,1441
583,397,0,8802,92,32034,36150,322,1760
584,379,0,10107,70,31734,33705,282,2144
585,379,0,14017,82,36645,35098,349,2502
586,392,0,17637,94,39083,34819,367,3382
587,341,0,20893,71,37711,32507,365,3902
588,362,0,25990,118,39045,31492,423,4800
589,341,0,30602,125,39996,31193,454,6958
590,310,0,32817,82,38572,29168,438,8095
591,310,0,32959,116,36614,26884,479,8590
592,234,0,35422,91,35987,25316,516,10553
593,247,0,36078,130,33728,22936,554,12332
594,209,0,36669,161,31477,20983,509,13626
595,196,0,38239,165,30404,19914,493,15749
596,209,0,36102,158,26521,17657,534,16468
597,213,0,34411,208,24968,16375,774,17991
598,199,0,31526,243,22050,14645,786,18625
599,189,0,31078,280,21280,14099,1001,20847
600,211,0,28673,279,19400,12778,1197,22876
601,192,0,25863,299,17668,12232,2439,23912
602,176,0,25328,323,16571,11452,4380,26837
603,192,7,25502,410,16348,10833,7047,27555
604,185,0,23639,443,15170,10417,10714,29704
605,218,0,22074,469,14874,10201,18368,32661
606,223,6,20900,608,14561,9889,23715,36901
607,295,8,21654,676,15032,10013,31611,39454
608,284,10,21595,788,14785,9799,38437,39620
609,238,12,19757,1293,13378,8693,38411,36872
610,280,10,18383,1464,12328,8300,41464,35840
611,274,7,19714,2470,12796,8852,52708,46295
612,310,11,18962,5838,12751,8978,99680,51274
613,306,13,16622,11246,11326,8305,96211,46135
614,333,11,14946,19208,10406,7709,91010,46337
615,379,15,13614,29073,9555,7060,80439,47952
616,409,15,12820,42045,9082,6945,73947,56433
617,418,24,12125,49809,8608,6470,67092,53090
618,428,15,11367,52196,8154,6120,61264,51007
619,428,21,10615,54674,7791,5940,55371,49133
620,452,8,9928,52314,7241,5596,51279,46210
621,643,25,9213,47829,6862,5279,48067,43332
622,667,27,8474,40065,6401,5015,44495,39277
623,796,38,7709,32936,5539,4763,41898,37932
624,858,37,7317,29552,5238,4378,40409,35221
625,977,57,6503,25269,5077,4069,37314,32107
626,1057,80,5580,24092,4726,3855,35574,28867
627,948,95,4765,22893,4075,3587,31462,26538
628,1035,108,4154,21062,3791,3340,27715,25363
629,1275,180,4067,19306,3535,3095,23633,26087
630,1650,218,3565,17083,2960,2804,19339,23551
631,2329,263,2948,16250,2667,2449,15560,20115
632,2663,386,2543,14007,2316,2153,13199,17746
633,2430,544,2134,12286,2084,1881,11368,15806
634,2817,643,2133,11186,1778,1857,10248,14957
